Timestamp,Faculty or Major :,What print resolution do you want?,Type of Material?,What kind of strength / fill density do you need? Note that higher density means more material and higher Cost.,Color of the Print? (PLA or ABS),"Upload your .STL file(s). Dimensions should be in mm. Format must be ""YOURNAME_NUMBER OF COPIES TO PRINT_FILENAME"" (e.g. ""JOHNDOE_2_Turtle.stl""). Only send in .STL files.","Rush order? (2-3 days instead of 5-7 days, 10%+$5 fee)"
14/02/2018 17:18:11,High School,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1fMVxaNKQBSOmbdvyLSuk8sENw4Y4l7Po, https://drive.google.com/open?id=1gWhCBoMoQD74pN8AF0QgyNraq9WjJKUI, https://drive.google.com/open?id=1oFZYzF4FrE5XKfp24IaG6d3uVFqDOHx3, https://drive.google.com/open?id=1DIpkQK30c11kFrg8sjODICFvpbF8NGIt",
20/02/2018 01:00:02,Arts,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1vcGtHZR67bvxa4bU8Uk4tVCebKzdFM9Z,
26/02/2018 21:11:55,Science,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1NZR0Ng0AD82AMhcdBMxjckQeel7Bfl6_,
28/02/2018 00:42:05,Medicine,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=16Ozh3T_XIuEnkxdt4eIUgGK0Q-gfEwE5,
02/03/2018 13:45:12,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1Z45qJLMggpxfthujRZYjqImFVLtfXy_Y, https://drive.google.com/open?id=1ivaTc2NaxeV5adrs4FcxhIA0l-RfoQke",
04/03/2018 17:04:48,Engineering,Fine - 100 Microns (Extra $2 fee added to the Setup Costs),"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1YdhrTtx8s-RU1rkL2ttMqyMTkM2iFDoF,
04/03/2018 21:09:59,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),"https://drive.google.com/open?id=1UNrHyV58xYxxlgQr1KGMVJPDgep6iokt, https://drive.google.com/open?id=16bC98xGoFeWd9uOdE-KqvYmi0Mj-ZG-y",
04/03/2018 23:22:22,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1ZxKlmTKp7raZB6Yfny276GuqB5d8Lg1L, https://drive.google.com/open?id=1uiycTnO96CXweMsd_-OolSeYAg8zqUO5, https://drive.google.com/open?id=15Ptj92O3TR67YaoshzkYnobWr9RECYXt, https://drive.google.com/open?id=19_srJ9QdPYS5QAwKWzeHgtXe70PxzYcj",
04/03/2018 23:23:16,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, Slightly Stronger and more heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),White (ABS + PLA),https://drive.google.com/open?id=1XBlJ8X3iARHOsezaZlae8Y0GK4tMyt_u,
05/03/2018 00:53:25,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1dBqwCfe7wz5NidLmQ2WAzAfHOxExrg_q,
05/03/2018 00:55:44,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1pAXmuNYl1AemUSeNd3bvLn0zS56R7T1E,
05/03/2018 21:32:42,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability with Wide Range of Colors Avaliable, Corn Based and biodegradable)",(Standard Density and excellent strength for majority of usages),Red (PLA Only),"https://drive.google.com/open?id=1DQKMJuuM032wJuyq6JKxOkGCIvNHWZXK, https://drive.google.com/open?id=1vIf1bLzc2ODVzXHHzoNYwQpdzTn4Q02y",
09/03/2018 00:27:27,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1X9ot5Wr2YLiRzrLPFXPDLw1FiCUm0kDd, https://drive.google.com/open?id=1ZQFwO71nSzM32XLsJXUqmgSiuoIvXSy4, https://drive.google.com/open?id=1FLerazaOiq3i98RFJZTskibnj84NwKmN, https://drive.google.com/open?id=1_zrMQRFdFij-V7QL5CRqbsLcskzgqkuK, https://drive.google.com/open?id=1UEm7JcgAaFL17jmOIZVTuKAADV2ydSYn",
09/03/2018 12:21:53,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=12HtilGJEss6AEfPrb8jERiFh69Y2b7CM, https://drive.google.com/open?id=1SVnKRccXeb0sTRzqLoBlJN6jPLSNIcpq",
09/03/2018 19:50:51,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1L2E23QxE3zG4Zkh3nLPP3cZt1Njm4loq,
14/03/2018 15:59:35,Engineering,Standard - 200 Microns,"Nylon ($0.50, Tough and Durable - Strongest and most difficult to Print)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1mS82NMn8mn1nFuNKFy_CNzqL7w2lltFE,
14/03/2018 20:00:45,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1c6K7AikUF1R-UwX0m2Dow7H0mE6KDpIg, https://drive.google.com/open?id=1i-Na_PZ02zOQlP-GwTFWH_rvauk5n1zB",
15/03/2018 17:05:33,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1Cy14FV1PPoVpLrlG9dvMIyxy8Gvv3p0O,
15/03/2018 17:12:04,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(High Density and Strongest),Black (ABS + PLA),https://drive.google.com/open?id=1mYAnB_hE9p7qBcTJCXGgBhv-qJQrp5o2,
17/03/2018 13:21:16,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",5 walls and 10-18% infill,Black (ABS + PLA),https://drive.google.com/open?id=1WNBs1yJTjw8evUHmtTqd3ZQyMPeuYUf0,
17/03/2018 13:22:46,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1zLtstNKju_ccmaNOoUy0kEzjr22PwzTj,
17/03/2018 21:43:24,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1pBx0T_DmC1XmpCDei3J9MmmQL7GItUJh, https://drive.google.com/open?id=1IrAL20EjMREA14voGe49l2RMlVmtSSCk",
22/03/2018 13:00:39,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1BP9o1ThwTgPwU6YdgTJwDZW7YfyzbDQO, https://drive.google.com/open?id=1GfC05n62x41MT0ujie-VJvC0eGQLfWOQ, https://drive.google.com/open?id=1IzLt4O-CWz0fRRr9MsoMP5fdo5fXVVOf",
22/03/2018 19:46:57,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1JwJFwaODcM5fcY_lzhu9BAd2KN2wie2U, https://drive.google.com/open?id=1mzO7CRmsGIOjpUJ0k4mXLBLXxOQlRNrz",
23/03/2018 15:27:07,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),White (ABS + PLA),https://drive.google.com/open?id=1BSc4gj5CMjLg_J8gxkF4aALBRLtgQr4r,
23/03/2018 16:40:22,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1muxO_mJueGx0O4SfVm8yPQWBo6ggFCJ7, https://drive.google.com/open?id=1Y8Cj4iGopJCTOIz7qmxScZ5yIS7OJOnj, https://drive.google.com/open?id=1mZtGGOR03GntWdiUiMAsFFCLTawkbSj_, https://drive.google.com/open?id=15Nq2ktROFsRmsiAzaoUkRJJG9TTTE9cZ",
23/03/2018 16:51:09,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1BgCBhKz0vrQohBROEDHG37H6NJI9oNyk,
23/03/2018 16:53:55,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1xmqUu7ONyC7dPC_wqyO8c0Mjx0kRbIS4, https://drive.google.com/open?id=1lP7L-Tsz-JS1pIVUdZzK9OKGav9b5L1t",
27/03/2018 12:16:56,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=19DgCjzrhjPNE2XKm8wkFEB-FaWmBVSdV, https://drive.google.com/open?id=1OTZNTOhAdovntcFcqexIwknAHlp6TZk9",
27/03/2018 12:27:49,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1Pq4ERqHO1YHujqBx_ZcYkcbL9LkXekpF,
28/03/2018 00:21:44,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1T_8qqsvE74F7K5aGvAtJ8MF08qEAJW9D,
28/03/2018 00:23:14,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1qzABOh5-7Kcwba_-u_bCdhGvMDelrd7x,
28/03/2018 01:22:37,Engineering,Standard - 200 Microns,"Ugly Flex (Small Prints Only) ($0.50, Strong, Flexible and around 80% rubber elasticity - Red Color)",(High Density and Strongest),I picked a special filament,"https://drive.google.com/open?id=101sGuzNhDLb4G15FdEzD7sxH1fIqr1AU, https://drive.google.com/open?id=1mJbRD9sh61LSrUNnlYsMSrKIYR_5_FQy, https://drive.google.com/open?id=16uTJHXSvLbJQV0ApabBd5keJFajUW_6C, https://drive.google.com/open?id=1AqdN3iVysPB9EJ7bEvwtKZyOWwNBgH-S, https://drive.google.com/open?id=1GQGAS8RuJYL8vDt1tasN0hLpHcKOIElo",
28/03/2018 14:10:53,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1csFgrmLoaLv-SZU89S5Hg82DJ5tvxftH,
30/03/2018 17:43:16,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),https://drive.google.com/open?id=1JzkyhINMS18BH16MkSZrX2quKGJ0mqPq,
30/03/2018 17:46:24,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=15F3iYi0Nzbn7uv9MFDs5HtzMnlt-4svD,
01/04/2018 21:42:32,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1IuxkCbHVrbx815D-BUxnN3MRwulXZ-xF,
01/04/2018 21:44:27,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1fN0OlrklftcCcX5Nv7ZxQTNcYEag6fgr,
02/04/2018 13:50:07,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Red (PLA Only),https://drive.google.com/open?id=1b4xWsFKLmIeVxl37zv1w6Q_aSSngOnwt,
04/04/2018 15:21:22,High School Student,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1am8ogjYVnCue56uCTr3gbD4_ml5V0o6a, https://drive.google.com/open?id=1ngc5CMpvG2iy6QiaYVG0rGViN_WHxGgZ",
04/04/2018 16:49:38,High School ,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=18us5lslIeqzNUfYXIpvTNCTTl4_qgHXW, https://drive.google.com/open?id=1Zp2Lzti1byAeCUUu0U7JifaZogMLi8E4",
09/04/2018 09:24:47,Engineering,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1P80JRf-AQqcMsHf2YVOb5k8UP2O4tpOR, https://drive.google.com/open?id=1PytRxbnuxfnXujgfiXXIITx9WOp-H0q4, https://drive.google.com/open?id=1k5_ywRkwzJK36NoR5Xy3SRKzjqb4an72, https://drive.google.com/open?id=18NhVR7z8Me3H8EfTkrVBUcHz9zxzXyh3, https://drive.google.com/open?id=1QyM3lHicJ1YrDUivhce6bpLmvXm-bpF1",
09/04/2018 13:39:52,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),White (ABS + PLA),https://drive.google.com/open?id=1b8bdQCdwsRCC2zN3_7RAr6u52ZhTVJUA,
15/04/2018 23:51:05,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Dark Blue (PLA Only),"https://drive.google.com/open?id=12qUvpu72yS2F66LTzNhBde3CEdmD7Ufq, https://drive.google.com/open?id=1Q3ee188I2Hto52JGUEaxz4SXSFF2jHbY",
18/04/2018 15:12:39,Engineering,Coarse - 300 Microns (Fastest Print time + Strongest Part),"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",White (ABS + PLA),https://drive.google.com/open?id=1QAExisI563rQVVCi24jsOnTuUY1M_MRe,
22/04/2018 12:33:48,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1Uq_KYGrRbeBOcI_tuAxi1xbNB4f9mGUt,
23/04/2018 00:10:26,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1nFr1MNaIA2ZC_zUwLzhmeHyzfiA7OlUM,
23/04/2018 00:11:46,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1uZZJEve7GAZDud1_qSD2S4gm2hr1jPgc,
28/04/2018 20:17:38,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),"https://drive.google.com/open?id=1crQQjfxEDhWl4aitRviaIAhiVJpN1vUZ, https://drive.google.com/open?id=1N9Yyk9p0GU_b5yhb7Uq6WC9T0AvHIhfK, https://drive.google.com/open?id=1lRkEhe2uR0D3UH1y2lClDI-vhc6xKymn",
30/04/2018 20:43:55,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1xt0rZB5lDwU9yZixbwpLpiYW5K0RHlYO, https://drive.google.com/open?id=1dZOUBAb1FxCzuCXXeh9OmR14OxNCwD21",
02/05/2018 01:36:14,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Gold (Extra $1) (PLA Only),https://drive.google.com/open?id=1KmtD04ExVeqUvygsq_aQFsyMzbNvAHhc,
02/05/2018 14:12:27,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1H-EvKGSOxF1OGyd5I3kpk0mpcbxk0avx, https://drive.google.com/open?id=15vEfcjcRWNYDnFkAM5N7fjQA0Kdttmim",
02/05/2018 14:22:32,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),"https://drive.google.com/open?id=1_OTjZ6W9ZF1I83FDw9gyaLh3zKVzMTJv, https://drive.google.com/open?id=1RCvX5UXHIy3c61rXLmHkQyyg-PZa6lG9, https://drive.google.com/open?id=1mUDnIVPSPdbJRSuvSdB_PHfBRZvH_kEU",
02/05/2018 14:28:05,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1kXNgah-TX0bBvfiCnTE2ork4nZrhCcgV, https://drive.google.com/open?id=1kUlWkYzoSOWkf3TIH38Xy-A_MTuDVvLV",
02/05/2018 14:30:19,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),"https://drive.google.com/open?id=1lh2Ff95023TZUex-eAmMlvPalypgdr14, https://drive.google.com/open?id=1a123beQDPfmun6REcNo3RJ6mTw3Gf3b9, https://drive.google.com/open?id=1A17B-aJVYoNkw7NWVTcMh6oEk9rz7gLG",
02/05/2018 23:29:04,Arts,Coarse - 300 Microns (Fastest Print time + Strongest Part),"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1oCk08JRa3U9UlGa4Xw0RWQiz-Y4dXeX2,
07/05/2018 09:50:51,High School,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1tO9CsIu7IO9P_nApwUa6gQSuhCDgLuzo, https://drive.google.com/open?id=1_9nn8Q54sevuX5NJBzTdlM3FTS97LWNG, https://drive.google.com/open?id=1u842Hy1TGyXdVQEyTHULPttsCHf_aTtC, https://drive.google.com/open?id=1Ds0RP1Q3ssb_keG64rf_cDf5fJSwRs92, https://drive.google.com/open?id=1_sQu49xQa8fC5loI0Dn-G1DBBoCsiCHv",
07/05/2018 09:51:52,High School,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1x18Zx560phJr7HW5TFS0qESaaQbhDyKA, https://drive.google.com/open?id=1FE8yRJ1VBscipxOYXMEeDza86TA4XpNe",
10/05/2018 16:59:00,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),"https://drive.google.com/open?id=1GORPmuGSqUFiAEdsnUdOAFQNQ1MY8f69, https://drive.google.com/open?id=1Ggf9pllZdfx1c3fS8-cZTpAfllYp-OEs, https://drive.google.com/open?id=1DDFLxdiTI8Dgkk9M8CyM3X9ye16nrEQE",
12/05/2018 12:32:27,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Dark Blue (PLA Only),"https://drive.google.com/open?id=1HHdmDnKxFLI7tBGpPF9CPgzkQWTCuq6t, https://drive.google.com/open?id=1crBJBP3P1uPzLmRmrVgcoBUaMjDzgb3Z",
12/05/2018 12:34:37,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Silver (Extra $1) (PLA Only),"https://drive.google.com/open?id=1Dg3zkbnmNQwRoyvlQyZono5ZAkLf5ePn, https://drive.google.com/open?id=1dpZV6HCO5a_DWIkjnFe5d2d15izZqhzp",
12/05/2018 12:37:16,Science,"Fine - 100 Microns (Extra $3 fee per extra hour compared to standard, Best Surface Quality + Weakest Part)","PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Gold (Extra $1) (PLA Only),"https://drive.google.com/open?id=18-CWm3t37mo9_GP1XPtsgNRXlDCTVi3Q, https://drive.google.com/open?id=1xzQKDDbOfxIljaRKpbjUkX93m0VcLpEZ",
14/05/2018 10:39:42,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)","(Low Density and decent strength, suggested for Art / Sculptures or certain Toys / Figurines)",Dark Blue (PLA Only),https://drive.google.com/open?id=1UrAbP-2bdpsifM2kc7JQCes3SZz534cP,
14/05/2018 22:55:22,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),Red (PLA Only),https://drive.google.com/open?id=1JCBQkACfP4dUcGfuUGt6Itw3YCpkJpVW,
15/05/2018 16:55:33,Science,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",100% Infill,Black (ABS + PLA),"https://drive.google.com/open?id=1qWocwu9dmslk7g9FnqvAeDQ9KXNzwrhK, https://drive.google.com/open?id=1_pC5FuPQOrOev2qq30utx7Rk614nyF7l, https://drive.google.com/open?id=1gG0VOz4gVwNlvl-bP3suBEw6ofDHsAWc, https://drive.google.com/open?id=1fGmdMbbm6HYCDswPPm30OP3QPk2lO2hz",
16/05/2018 15:29:55,Engineering,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1MvFiyoGhJ8cZ4lg1O2hntOseesdboiZN,
23/05/2018 22:29:06,External Highschool program,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1nSUlUI6xQyXc_Nhic6R46NXBZ-4ZsdZY,
24/05/2018 16:32:15,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(Standard Density and excellent strength for majority of usages),White (ABS + PLA),https://drive.google.com/open?id=1g1BG241c4kw66e0dxbXAvjUV7QJE0p6m,
26/05/2018 19:05:48,Engineering,Standard - 200 Microns,"PLA ($0.15/gram, Standard strength and durability, Biodegradable and Cornbased)",(High Density and Strongest),Black (ABS + PLA),"https://drive.google.com/open?id=127BjnAQmnwGkiwIZGisLPu0yj_wNKDcR, https://drive.google.com/open?id=1R0G-q16lfZHJdwoocmT8QX_fXkTowVIw",
08/06/2018 14:47:06,Business,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=12E68oq5eGPRu741amnPwErTnBBCUDtTP,
08/06/2018 16:57:22,Business,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=13hcjqzlbnUWdSFp0EkH0grWDfYiLncAG,
08/06/2018 16:58:29,Business,Standard - 200 Microns,"ABS ($0.15/gram, More heat resistant than PLA, Oil Based - Only in Black and White)",(Standard Density and excellent strength for majority of usages),Black (ABS + PLA),https://drive.google.com/open?id=1PB6CjlGyWplP_n8N8YYsI0nDmAJ4RgCn,
